CO(GT),PT08.S5(O3),NO2(GT),PT08.S4(NO2),C6H6(GT)
2.6,1268.0,113.0,1692.0,11.9
2.0,972.0,92.0,1559.0,9.4
2.2,1074.0,114.0,1555.0,9.0
2.2,1203.0,122.0,1584.0,9.2
1.6,1110.0,116.0,1490.0,6.5
1.2,949.0,96.0,1393.0,4.7
1.2,733.0,77.0,1333.0,3.6
1.0,730.0,76.0,1333.0,3.3
0.9,620.0,60.0,1276.0,2.3
0.6,501.0,-200.0,1235.0,1.7
-200.0,445.0,34.0,1197.0,1.3
0.7,422.0,28.0,1182.0,1.1
0.7,472.0,48.0,1221.0,1.6
1.1,730.0,82.0,1339.0,3.2
2.0,1102.0,112.0,1517.0,8.0
2.2,1028.0,101.0,1583.0,9.5
1.7,860.0,98.0,1446.0,6.3
1.5,671.0,92.0,1362.0,5.0
1.6,664.0,95.0,1401.0,5.2
1.9,799.0,112.0,1537.0,7.3
2.9,1037.0,128.0,1730.0,11.5
2.2,946.0,126.0,1647.0,8.8
2.2,957.0,131.0,1591.0,8.3
2.9,1104.0,135.0,1719.0,11.2
4.8,1409.0,151.0,2083.0,20.8
6.9,1704.0,172.0,2333.0,27.4
6.1,1654.0,165.0,2191.0,24.0
3.9,1285.0,136.0,1707.0,12.8
1.5,821.0,85.0,1333.0,4.7
1.0,552.0,53.0,1252.0,2.6
1.7,816.0,97.0,1375.0,5.9
1.9,832.0,110.0,1378.0,6.4
1.4,692.0,91.0,1304.0,4.1
0.8,512.0,-200.0,1187.0,1.9
-200.0,384.0,32.0,1134.0,1.1
0.6,394.0,44.0,1155.0,1.0
0.8,487.0,71.0,1223.0,1.8
1.4,748.0,104.0,1361.0,4.4
4.4,1400.0,141.0,1900.0,17.9
-200.0,1588.0,-200.0,2058.0,22.1
3.1,1237.0,122.0,1712.0,14.0
2.7,1167.0,143.0,1598.0,11.6
2.1,959.0,113.0,1537.0,10.2
2.5,983.0,116.0,1593.0,11.0
2.7,1061.0,123.0,1660.0,12.8
2.9,1139.0,126.0,1740.0,14.2
2.8,1112.0,120.0,1657.0,12.7
2.4,994.0,119.0,1610.0,11.7
3.9,1410.0,149.0,1910.0,19.3
3.7,1448.0,145.0,1847.0,18.2
6.6,1887.0,170.0,2390.0,32.6
4.4,1627.0,149.0,1941.0,20.1
3.5,1491.0,139.0,1723.0,14.3
5.4,1657.0,134.0,2062.0,21.8
2.7,1285.0,113.0,1544.0,9.6
1.9,1144.0,97.0,1463.0,7.4
1.6,1043.0,82.0,1365.0,5.4
1.7,996.0,-200.0,1380.0,5.4
-200.0,992.0,83.0,1412.0,6.2
1.0,819.0,65.0,1274.0,2.6
1.2,835.0,60.0,1268.0,2.9
1.5,940.0,77.0,1409.0,5.1
2.7,1192.0,96.0,1678.0,11.8
3.7,1411.0,119.0,1777.0,15.1
3.2,1465.0,126.0,1667.0,12.9
4.1,1583.0,158.0,1780.0,16.1
3.6,1387.0,161.0,1679.0,14.0
2.8,1101.0,124.0,1600.0,12.3
2.0,850.0,102.0,1488.0,8.6
2.0,947.0,116.0,1532.0,9.2
2.5,1078.0,124.0,1554.0,10.2
2.3,1084.0,125.0,1602.0,10.6
3.2,1395.0,148.0,1779.0,15.5
4.2,1612.0,165.0,1922.0,19.6
4.2,1697.0,161.0,1915.0,19.2
4.2,1886.0,159.0,1860.0,18.3
3.1,1624.0,143.0,1748.0,13.1
2.6,1536.0,130.0,1603.0,10.9
2.9,1535.0,129.0,1611.0,11.0
2.8,1530.0,119.0,1624.0,11.9
2.5,1337.0,104.0,1543.0,8.6
2.4,1278.0,-200.0,1620.0,9.7
-200.0,1051.0,82.0,1452.0,5.2
1.2,929.0,70.0,1377.0,3.7
1.0,872.0,63.0,1333.0,2.5
0.9,853.0,67.0,1340.0,2.4
1.4,959.0,84.0,1414.0,4.2
1.6,1093.0,83.0,1527.0,6.4
2.2,1225.0,98.0,1614.0,8.6
2.8,1355.0,114.0,1696.0,10.9
2.8,1262.0,119.0,1677.0,10.7
2.0,980.0,104.0,1525.0,7.5
1.8,872.0,102.0,1490.0,7.5
1.9,900.0,107.0,1511.0,8.2
3.0,1099.0,129.0,1646.0,11.9
2.9,1206.0,128.0,1668.0,12.0
2.5,1262.0,121.0,1671.0,12.2
4.6,1698.0,157.0,1993.0,20.6
5.9,1905.0,173.0,2103.0,23.1
3.4,1648.0,146.0,1818.0,14.7
2.1,1423.0,121.0,1587.0,9.0
2.2,1349.0,119.0,1617.0,8.8
1.8,1250.0,99.0,1547.0,7.4
1.8,1174.0,93.0,1543.0,6.9
1.8,1149.0,88.0,1566.0,7.0
1.1,1021.0,-200.0,1487.0,4.4
-200.0,1013.0,71.0,1468.0,4.0
1.0,1010.0,74.0,1464.0,3.9
1.4,1083.0,80.0,1584.0,6.4
2.2,1235.0,89.0,1710.0,9.7
5.5,1680.0,114.0,2323.0,25.9
8.1,2184.0,149.0,2665.0,36.7
5.8,1973.0,157.0,2262.0,26.6
4.2,1798.0,155.0,2029.0,20.1
3.1,1522.0,134.0,1783.0,14.1
2.9,1404.0,119.0,1831.0,14.9
2.9,1263.0,111.0,1829.0,15.4
2.5,1137.0,104.0,1707.0,12.1
2.3,1068.0,99.0,1675.0,11.5
2.8,1252.0,110.0,1824.0,14.8
6.1,1843.0,162.0,2447.0,32.1
8.0,2122.0,187.0,2679.0,39.2
6.5,1992.0,165.0,2443.0,31.0
4.2,1707.0,145.0,2058.0,19.9
3.2,1494.0,125.0,1856.0,15.3
1.4,1164.0,101.0,1547.0,6.9
2.1,1272.0,103.0,1731.0,11.1
1.2,1040.0,88.0,1483.0,5.4
0.8,867.0,61.0,1386.0,2.8
0.7,826.0,-200.0,1364.0,2.3
-200.0,840.0,59.0,1373.0,2.6
0.6,793.0,52.0,1348.0,2.0
0.9,870.0,64.0,1418.0,3.5
1.3,930.0,70.0,1467.0,5.1
3.4,1407.0,97.0,1889.0,16.2
3.7,1507.0,95.0,2055.0,19.7
5.3,1843.0,150.0,2211.0,25.1
4.1,1729.0,162.0,1973.0,20.0
3.3,1583.0,154.0,1868.0,18.3
4.0,1671.0,161.0,1998.0,22.3
3.8,1491.0,161.0,1897.0,20.4
2.8,1240.0,128.0,1675.0,14.6
2.9,1313.0,129.0,1759.0,16.6
2.9,1363.0,133.0,1739.0,15.8
3.4,1296.0,139.0,1778.0,17.8
3.9,1432.0,137.0,1875.0,19.1
3.2,1432.0,143.0,1776.0,15.8
5.1,2034.0,177.0,2106.0,24.9
2.6,1602.0,138.0,1710.0,13.5
1.7,1362.0,117.0,1560.0,9.1
1.7,1314.0,107.0,1547.0,8.6
1.2,1114.0,90.0,1442.0,5.4
0.9,992.0,79.0,1383.0,4.1
0.7,884.0,-200.0,1332.0,2.6
-200.0,808.0,60.0,1303.0,1.9
0.5,667.0,40.0,1268.0,1.6
0.5,733.0,53.0,1289.0,1.9
1.6,1052.0,84.0,1556.0,7.5
4.1,1534.0,108.0,1999.0,21.4
6.6,1931.0,127.0,2535.0,36.4
4.3,1734.0,134.0,2026.0,21.3
2.9,1595.0,135.0,1782.0,15.4
2.5,1490.0,142.0,1654.0,12.5
2.8,1508.0,153.0,1747.0,15.1
2.6,1334.0,123.0,1712.0,13.7
2.0,1045.0,104.0,1520.0,10.4
2.9,1221.0,129.0,1679.0,15.2
2.5,1069.0,114.0,1525.0,12.3
5.0,1569.0,158.0,1981.0,27.0
7.6,2306.0,194.0,2414.0,38.4
6.7,2359.0,182.0,2416.0,35.1
5.7,2050.0,180.0,2174.0,27.2
2.8,1727.0,136.0,1727.0,15.0
2.6,1705.0,127.0,1778.0,15.7
2.3,1551.0,116.0,1669.0,13.0
1.4,1240.0,107.0,1502.0,8.1
1.0,1115.0,88.0,1407.0,5.5
0.7,969.0,-200.0,1351.0,3.6
-200.0,925.0,78.0,1334.0,2.9
0.6,828.0,57.0,1307.0,2.5
0.7,893.0,71.0,1333.0,3.0
1.5,1075.0,85.0,1551.0,7.7
4.7,1610.0,124.0,2094.0,23.3
6.6,2051.0,151.0,2468.0,35.8
4.5,1819.0,150.0,2010.0,21.3
2.8,1568.0,152.0,1752.0,14.3
2.2,1374.0,139.0,1663.0,12.5
2.2,1268.0,133.0,1648.0,12.2
2.3,1144.0,126.0,1660.0,13.1
2.2,1109.0,128.0,1639.0,14.4
2.8,1347.0,169.0,1767.0,16.8
2.7,1206.0,149.0,1689.0,14.5
3.7,1397.0,156.0,1957.0,21.5
5.1,1588.0,168.0,2118.0,26.4
5.1,1569.0,176.0,2051.0,26.0
3.2,1322.0,135.0,1732.0,14.1
2.1,1194.0,121.0,1621.0,10.3
1.7,1062.0,99.0,1545.0,8.3
2.0,1040.0,106.0,1606.0,8.9
1.6,917.0,96.0,1501.0,6.6
0.9,594.0,63.0,1380.0,3.6
0.7,430.0,-200.0,1301.0,2.5
-200.0,397.0,32.0,1280.0,1.8
0.5,370.0,28.0,1260.0,1.3
0.7,438.0,61.0,1324.0,2.3
1.5,704.0,99.0,1539.0,6.7
4.8,1476.0,157.0,2144.0,22.8
6.2,1716.0,166.0,2456.0,31.3
4.0,1398.0,149.0,1980.0,19.2
3.3,1268.0,135.0,1879.0,16.4
2.8,1188.0,127.0,1751.0,14.0
3.0,1171.0,122.0,1801.0,15.3
3.3,1250.0,135.0,1875.0,16.7
3.5,1344.0,139.0,1957.0,19.0
4.0,1378.0,147.0,1955.0,19.4
4.6,1435.0,158.0,2005.0,20.9
